id,question,A,B,C,D,answer,feedback
1,地球繞太陽公轉一圈大約需要多久？,1年,24小時,一個月,一週,A,回答正確！地球公轉一圈約一年。
2,水的沸點在標準大氣壓下是？,100°C,0°C,50°C,212°C,A,正確！在標準大氣壓下是 100°C。
3,光的速度約為？,3×10^8 m/s,3×10^6 m/s,3×10^5 m/s,3×10^3 m/s,A,答對了，光速約為 3×10^8 m/s。
4,下列哪個是哺乳類動物？,青蛙,鯨魚,鳥,蜥蜴,B,很好，鯨魚是哺乳類。
5,中文「謝謝」的反義（通常在英文情境）是？,不客氣,再見,很抱歉,請,B,「不客氣」常回應「謝謝」，所以是正確回應。
6,臺灣的首都是哪一個城市？,高雄,台中,台北,基隆,C,正確，臺灣的首都是台北。
7,水的化學式為何？,CO2,H2O,O2,NaCl,B,正確，水的化學式是 H2O。
8,下列哪一個顏色是三原色（光學）之一？,綠,紫,黃,黑,A,正確，光的三原色為紅、綠、藍。
9,計算：5 × 6 = ?,11,30,56,20,B,正確，5 × 6 = 30。
10,哪一個行星被稱為紅色星球？,木星,金星,火星,土星,C,正確，火星常被稱為紅色星球。
